2070,誘食禁果 ‧ 烏洛波,火,魔族,7,"[""修羅場""]",FALSE,,"[{""name"":""魔鬼的使命"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，敵方互相或自我進行 1 次攻擊；效果期間，自身攻擊力跟隨隊長的攻擊力，個人追打水、火、木、光、暗屬性攻擊各 1 次     "",""tag"":[""魅惑敵方"",""增傷"",""界王拳"",""自身追打"",""水屬追打"",""火屬追打"",""木屬追打"",""光屬追打"",""暗屬追打"",""五屬追打"",""敵身狀態""]}]",[],99,12,0,v17.10,,
2123,白羊座 ‧ 穆,光,人類,7,"[""修羅場"",""聖鬥士""]",TRUE,,"[{""name"":""星光滅絕"",""type"":""normal"",""charge"":""CD"",""num"":9,""description"":""     1 回合內     I. 自身生命力愈高，全隊攻擊力愈高，最大 2.2 倍     II. 人類成員追打光屬性攻擊 1 次     "",""tag"":[""光屬追打"",""增傷""]},{""name"":""雅典娜之感嘆 ‧ 穆"",""type"":""combine"",""member"":[2123,2113,2118],""charge"":""CD"",""num"":-1,""description"":""     隊伍中沒有「雅典娜 ‧ 城戶沙織」才可發動此技能     I. 消除所有附加效果     1 回合內     II. 發動此技能的成員攻擊力提升 3 倍，其直行符石轉化為相應屬性的人族強化符石     III. 光符石兼具暗符石效果，暗符石兼具光符石效果     "",""tag"":[""附加消除"",""增傷"",""界王拳"",""符石轉光"",""符石轉暗"",""符石轉光強化"",""符石轉暗強化"",""人族符石製造"",""符石兼具光"",""符石兼具暗""]}]","[{""description"":""  2164,邪神卡達諾佐亞,水,獸類,7,"[""修羅場"",""侵略者""]",TRUE,,"[{""name"":""影霧貫通光線"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     I. 3 回合內，石化敵方全體     使受影響目標無法行動     II. 效果期間，自身攻擊力 5 倍     "",""tag"":[[""無法行動"",3],[""石化敵方"",3],[""增傷"",3],[""界王拳"",3],""敵身狀態""]}]",[],99,12,0,v17.40,,
2196,冬之美夢頌 ‧ 雪未來,水,機械族,7,"[""修羅場"",""虛擬歌手""]",TRUE,,"[{""name"":""雪晶魔法"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 引爆所有凍結符石     II. 自身攻擊力基值固定為 1     III. 連擊 (Ex. Combo、Combo)     ⇒ 攻擊力提升 39%          效果持續至沒有達成 ≥4 連擊 (Combo)     "",""tag"":[""引爆"",""凍結符石處理"",[""我方減攻"",-1],[""增傷"",-1]]}]","[{""description"":""     ◆ 於「世界募集」活動 ──「電子歌姬的應援」中     ⇒ 通關後額外獲得 1 個道具     "",""activate"":""以「彩璃羽躍 ‧ 初音未來與KAITO」、「節拍舞曲 ‧ MEIKO」、「睡前誘曲 ‧ 初音未來」、「盈蝶線牽 ‧ 鏡音鈴與鏡音連」、「曲中情熱 ‧ 巡音流歌」、「低奏回音 ‧ KAITO」、「閃熠之聲 ‧ 鏡音鈴」、「輝盛之音 ‧ 鏡音連」、「泡沫罪夢 ‧ 鏡音鈴」、「戲偶劇目 ‧ 初音未來」、「冬之美�2235,水色奢華 ‧ 月光石,水,妖精類,7,"[""修羅場""]",FALSE,,"[{""name"":""戀之異彩"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內     I. 妖精類攻擊力及回復力 2.2 倍     II. 首批消除所有心符石時     ⇒ 該回合不會扣減技能持續回合     "",""tag"":[""增傷"",""增回""]}]",[],99,12,0,v18.10,,
2294,柯特,暗,人類,7,"[""修羅場"",""幻影旅團""]",TRUE,,"[{""name"":""蛇咬之舞"",""type"":""normal"",""charge"":""CD"",""num"":9,""description"":""     1 回合內     I. 任意移動符石而不會發動消除     II. 水、暗、心符石首批 1 粒即可發動消除     "",""tag"":[""排珠"",""一消""]}]","[{""description"":""     ◆「幻影旅團」成員     ⇒ 「生命力及回復力」基值 1.5 倍          ◆ 延長移動符石時間 3 秒          ◆ 心符石兼具屬性符石效果     "",""activate"":""以「幻影旅團團長 ‧ 庫洛洛」作隊長及戰友"",""skill_tag"":[""增回"",""增血"",""延長轉珠時間"",""心兼具其他"",""符石兼具水"",""符石兼具火"",""符石兼具木"",""符石兼具光"",""符石兼具暗""],""activate_tag"":[""指定雙隊長""],""relative"":[2285,""幻影旅團""]}]",99,12,0,v18.20,,
2303,銜木填海 ‧ 精衛,木,神族,6,"[""修羅場""]",FALSE,,"[{""name"":""誓鳥之志"",""type"":""normal"",""charge"":""CD"",""num"":3,""description"":""     隊長需為神族才能發動此技能：     I.「上古諸神」系列角色的「仙力」增加 5 點     II. 將神族成員的屬性符石     ⇒ 添加為神族符石     III. 下回合追加上回合的 Ex. Combo 數目     "",""tag"":[""神族符石製造"",""增加Ex.Combo""]}]",[],99,12,0,v19.10,,
2317,九曲獅嘯 ‧ 九靈元聖,暗,獸類,7,"[""修羅場""]",FALSE,,"[{""name"":""九口之幽"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. <board>將 9 個固定位置的符石     ⇒ 轉化為暗獸族強化符石</board>          1 回合內     II. 暗符石兼具 50% 心符石效果     "",""tag"":[""符石轉暗"",""符石轉暗強化"",""獸族符石製造"",""固定版面"",""符石兼具心""]}]",[],99,12,0,v18.30,"[[""-"",""-"",""-"",""-"",""-"",""-"",""-"",""Db"",""-"",""Db"",""-"",""Db"",""Db"",""-"",""Db"",""-"",""Db"",""-"",""-"",""Db"",""-"",""Db"",""-"",""Db"",""-"",""-"",""-"",""-"",""-"",""-""]]",
2349,斯洛烏斯,暗,魔族,7,"[""修羅場""]",TRUE,,"[{""name"":""高速殺勢"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 隊伍中每有 1 個魔族成員     ⇒ 隨機將 3 粒符石添加為魔族符石          1 回合內     II. 首批消除魔族符石愈多     ⇒ 自身攻擊力提升愈多     ⇒ 首批消除 12 粒可達至最大 7 倍     "",""tag"":[""魔族符石製造"",""增傷"",""界王拳""]}]",[],99,12,0,v18.40,,
2464,四大天使長 ‧ 流德雪爾,光,神族,7,"[""修羅場""]",TRUE,,"[{""name"":""極大聖櫃"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 解除「幽閉空間」     II. 將所有符石     ⇒ 添加為神族符石     III. 若場上有魔族敵人時     ⇒ 則將所有符石     ⇒ 轉化為神族強化符石     1 回合內     IV. 首批掉落的 15 粒符石     ⇒ 必定為光神族強化符石     "",""tag"":[[""黑白還原"",-1],""神族符石製造"",""符石強化"",""天降強制掉落""]}]",[],99,12,0,v19.20,,
2577,尤加利戰熊 ‧ 富伯,木,獸類,7,"[""修羅場""]",FALSE,,"[{""name"":""破石衝鋒"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 將木符石轉化為     ⇒ 獸族強化符石     II. 解除「石化符石」狀態，成功解除後     ⇒ 自身技能 CD -5     1 回合內     III. 自身攻擊力 4 倍     IV. 自身攻擊無視「攻前盾」     "",""tag"":[""符石強化"",""符石轉木強化"",""獸族符石製造"",""石化符石處理"",""減CD"",""增傷"",""界王拳"",""無視攻前盾""]}]",[],99,12,0,v19.50,,
7013,噬人旅者 ‧ 佩利冬,光,神族,7,"[""修羅場""]",FALSE,,"[{""name"":""穿刺奪魄 ‧ 光炫"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，達成 4 連擊 (Combo) 或以下時：所受傷害減少 50%，下回合開始時隨機將 5 粒光屬性以外的符石轉化為光符石；達成 5 連擊 (Combo) 或以上時，神族及魔族攻擊力 2 倍。連擊 (Combo) 只計算首批消除的符石     "",""tag"":[""符石轉光"",""減傷"",""增傷""]}]",[],99,12,0,v12.40,,
7017,月色吸血姬 ‧ 特蕾西亞,暗,魔族,7,"[""修羅場"",""血噬""]",FALSE,,"[{""name"":""鮮血之渴求"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     移動符石前若生命力全滿，魔族攻擊力 2 倍；隊伍中只有魔族成員時，將自身對敵方造成傷害的 3% 轉化為生命力。效果持續至生命力為 20% 或以下     "",""tag"":[[""增傷"",-1],[""我方傷害吸收"",-1]]}]","[{""description"":""     ◆【血噬】成員對敵方造成攻擊傷害的 5% 轉化為     ⇒ 我方生命力     ⇒ 最大為【血噬】成員總生命力     "",""activate"":""以【血噬】角色作成員"",""skill_tag"":[""我方傷害吸收""],""activate_tag"":[""指定成員""],""relative"":[""血噬""]}]",99,12,0,v16.10,,
