1292,蒼生之龍 ‧ 趙雲,水,龍類,7,"[""討伐戰"",""綠軍""]",FALSE,,"[{""name"":""子龍兇勢、子龍兇勢"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     每次只能選取 1 個效果。          效果1：     延遲全體敵人行動 1 回合          效果2：     15 秒內，可任意移動符石而不會發動消除     "",""tag"":[""排珠"",""延遲"",""敵身狀態""]}]","[{""description"":""     ◆ 每首批消除 1 粒指定「綠軍」區域內的符石     ⇒ 提升「綠軍」成員攻擊力     ⇒ 首批消除 10 粒可達至最大 3 倍          ◆ 消除 ≥3 種符石時，「綠軍」成員額外追打 50% 攻擊 1 次     "",""activate"":""以潛能解放「綠軍」角色作隊長，且隊中有 ≥3 個「綠軍」成員"",""skill_tag"":[""增攻"",""水屬追打""],""activate_tag"":[""指定隊長"",""指定成員""],""relative"":[""綠軍""]}]",99,12,0,v13.00,,
2025,新大陸展航 ‧ 哥倫布,水,機械族,7,"[""討伐戰""]",FALSE,,"[{""name"":""全速航行"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，機械族成員追打水、火及木屬性攻擊各 1 次；回合結束時，將水、火及木符石轉化為強化符石     "",""tag"":[""水屬追打"",""火屬追打"",""木屬追打"",""符石強化"",""符石轉水強化"",""符石轉火強化"",""符石轉木強化""]}]",[],99,12,0,v17.00,,
2090,劃時代天才 ‧ 特斯拉,光,機械族,7,"[""討伐戰""]",FALSE,,"[{""name"":""電流論"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     電擊敵方全體，使受影響目標無法行動，持續 1 回合。1 回合內，機械族攻擊力 1.5 倍並將移動符石時觸碰的首 6 粒符石轉化為光強化符石     "",""tag"":[""電擊敵方"",""無法行動"",""增傷"",""符石轉光"",""符石轉光強化"",""軌跡轉化"",""敵身狀態""]}]",[],99,12,0,v17.20,,
2140,燃天鷙猛 ‧ 犼,火,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""猛鷙之焰"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     隊伍中有 3 個或以上獸類成員時：     I. 發動此技能及回合結束時     ⇒ 隨機將 3 粒符石添加為獸族符石     II. 每消除 1 粒獸族符石     ⇒ 減少 5% 所受傷害，最多可減少 30% 傷害     消除獸族或神族符石可維持效果     "",""tag"":[[""獸族符石製造"",-1],[""減傷"",-1]]}]",[],99,12,0,v17.30,,
2197,初音未來 MIKUEXPO 2019,火,機械族,7,"[""討伐戰"",""虛擬歌手""]",TRUE,,"[{""name"":""初音綻放"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 解除名字有「初音未來」的成員被封鎖的技能 (此技能無視封鎖技能)     1 回合內     II. 機械族成員的攻擊力 1.5 倍     III. 名字有「初音未來」的成員     ⇒ 攻擊力額外 3 倍     "",""tag"":[""解鎖"",""增傷"",""界王拳""]}]","[{""description"":""     ◆ 於「世界募集」活動 ──「電子歌姬的應援」中     ⇒ 通關後額外獲得 1 個道具     "",""activate"":""以「彩璃羽躍 ‧ 初音未來與KAITO」、「節拍舞曲 ‧ MEIKO」、「睡前誘曲 ‧ 初音未來」、「盈蝶線牽 ‧ 鏡音鈴與鏡音連」、「曲中情熱 ‧ 巡音流歌」、「低奏回音 ‧ KAITO」、「閃熠之聲 ‧ 鏡音鈴」、「輝盛之音 ‧ 鏡音連」、「泡沫罪夢 ‧ 鏡音鈴」、「戲偶劇目 ‧ 初音未來」、「冬之美�2236,瑩潤探索 ‧ 紅珊瑚,火,妖精類,7,"[""討伐戰""]",FALSE,,"[{""name"":""珊瑚亂舞"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 引爆敵人屬性符石     ⇒ 掉落火強化符石     1 回合內     II. 每消除 2 組符石     ⇒ 妖精類成員以 30% 自身攻擊力追打火屬性攻擊 1 次     ⇒ 最多追打 5 次     "",""tag"":[""引爆"",""水符石引爆"",""火符石引爆"",""木符石引爆"",""光符石引爆"",""暗符石引爆"",""引爆強制掉落"",""火屬追打""]}]",[],99,12,0,v18.10,,
2316,雲台顯跡 ‧ 靈獸三仙,光,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""國師之能"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 個人追打 2 次     II. 減少 60% 所受傷害     效果持續至沒有消除神族符石          III. 若隊長為「上古諸神」系列角色     ⇒ 可迴避敵人攻擊一次     "",""tag"":[[""光屬追打"",-1],[""自身追打"",-1],[""減傷"",-1],""迴避"",""多重左上狀態""]}]",[],99,12,0,v18.30,,
2393,未知惡靈 ‧ 澤西惡魔,水,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""魔流之暴"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內     I. 自身對獸類、妖精類、龍類目標     ⇒ 攻擊力 4 倍     II. 回合完結時     ⇒ 將火符石轉化為水魔族符石     III. 以攻前炮擊或攻擊傷害擊斃敵人     ⇒ 該回合不會扣減技能持續回合     "",""tag"":[""增傷"",""界王拳"",""對獸類增傷"",""對妖精類增傷"",""對龍類增傷"",""敵方受傷增加"",""火轉其他"",""符石轉水"",""魔族符石製造""]}]",[],99,12,0,v19.00,,
2417,螺旋王四天王 ‧ 神速的希多曼都,木,機械族,7,"[""討伐戰""]",TRUE,,"[{""name"":""神速之鋸"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內     I. 消除 1 組 ≥4 粒符石     ⇒ 自身攻擊力 2.5 倍     II. 消除 ≥2 組 ≥4 粒符石     ⇒ 自身攻擊力 4 倍     III. 發動技能時，若我方生命力為 1     ⇒ 可任意移動符石而不會發動消除     "",""tag"":[""增傷"",""界王拳"",""排珠"",""多重左上狀態""]}]","[{""description"":""     ◆ 最左方的「神速的希多曼都」及最左方的「彤心械獸 ‧ 朱雀」     ⇒ 回復力基值 1.3 倍     "",""activate"":""以「彤心械獸 ‧ 朱雀」及「螺旋王四天王 ‧ 神速的希多曼都」作成員"",""skill_tag"":[""增回""],""activate_tag"":[""指定成員""],""relative"":[2417,1832]}]",99,12,0,v19.10,,
2467,信仰 ‧ 梅拉斯丘拉,暗,魔族,7,"[""討伐戰""]",TRUE,,"[{""name"":""暗澹之繭"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     I. <board>將外側 18 粒符石     ⇒ 轉化為暗魔族符石</board>     1 回合內     II. 敵方全體攻擊力減至 0     III. 暗符石兼具心符石效果     "",""tag"":[""符石轉暗"",""魔族符石製造"",""大幅轉版"",""固定版面"",""敵方減攻"",""符石兼具心"",""敵身狀態""]}]","[{""description"":""     I. 每回合開始時     ⇒ 消耗 15% 現有生命力     II. 自身對身上有附加效果的目標     ⇒ 攻擊力額外 4 倍     "",""activate"":""以「信仰之誡 ‧ 梅拉斯丘拉」作成員"",""skill_tag"":[""我方扣血"",""增攻""],""activate_tag"":[],""relative"":[2467]}]",99,12,0,v19.20,"[[""dd"",""dd"",""dd"",""dd"",""dd"",""dd"",""dd"",""-"",""-"",""-"",""-"",""dd"",""dd"",""-"",""-"",""-"",""-"",""dd"",""dd"",""-"",""-"",""-"",""-"",""dd"",""dd"",""dd"",""dd"",""dd"",""dd"",""dd""]2505,噬紅利牙 ‧ 溫迪哥,水,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""冰噬"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     I. 凍結敵方全體，持續 2 回合     1 回合內     II. 首批掉落的 10 粒符石     ⇒ 必定為水魔族符石     "",""tag"":[[""凍結敵方"",2],""天降強制掉落"",""魔族符石製造"",""敵身狀態""]}]",[],99,12,0,v19.30,,
2539,AAA Wunder與葛城美里,火,神族,7,"[""討伐戰""]",TRUE,,"[{""name"":""射擊主砲"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     I. 引爆火屬性神族及木屬性神族成員直行符石     ⇒ 掉落相應屬性神族符石          1 回合內     II. 自身、「明日香與EVA改2號機」、「明日香與EVA改2號機 (獸化第4形態)」、「真理與EVA8號機β」     ⇒ 以 50 % 攻擊力追打 3 次     III. 隊中每有 1 個「明日香與EVA改2號機」、「明日香與EVA改2號機 (獸化第4形態)」、「真理與EVA8號機β」     ⇒ 額外增加 1 回合效果     ⇒ 最多可持續 5 回合     "",""tag"":[""引爆"",""直行引爆"",""神族符石製造"",""引爆強制掉落"",[""火屬追打"",5],[""自身追打"",5]]}]","[{""description"":""     進入關卡後，「AAA Wunder與葛城美里」、「明日香與EVA改2號機」及「真理與EVA8號機β」     ⇒ 技能 CD -3     "",""activate"":""以「AAA Wunder與葛城美里」2578,冽風旱雷 ‧ 帕祖祖,木,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""魔之風暴"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     I. 將木及心符石轉化為     ⇒ 魔族強化符石     1 回合內     II. 無視「黏腐」敵技     III. 觸碰暴風時仍可移動符石     IV. 每首批消除 1 粒魔族符石     ⇒ 額外增加 1 連撃 (Combo)     ⇒ 最多可增加 10 Combo     "",""tag"":[""符石轉木強化"",""符石轉心強化"",""符石強化"",""魔族符石製造"",""無視黏腐"",""無視暴風"",""增加Combo""]}]",[],99,12,0,v19.50,,
2625,瓦傑力拉 FF,光,機械族,7,"[""討伐戰""]",TRUE,,"[{""name"":""能源衝刺"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 將水符石轉化為光符石     II. 將火符石轉化為暗符石     III. 將木符石轉化為心符石     IV. 若發動技能時所有機械族成員的行動值達至 100%     ⇒ 將所有符石轉化為機械族強化符石     "",""tag"":[""符石轉光"",""符石轉暗"",""符石轉心"",""水轉其他"",""火轉其他"",""木轉其他"",""符石轉光強化"",""符石轉暗強化"",""符石轉心強化"",""符石強化"",""機械族符石製造""]}]","[{""description"":""     獲得「E 罐」：          I. 機械族成員     ⓵ 技能 CD -1     ⓶ 技能 EP +1     ⓷ 行動值提升 50%          II. 完全回復生命力          於回合開始時點擊已儲滿的龍脈儀可觸發「E 罐」能力     (需消耗 100% 龍脈儀能量)     "",""activate"":""以《ROCKMAN X DiVE》合作角色作隊長，且隊長有裝備龍刻2646,機械本源 ‧ 麥卡錫,火,人類,7,"[""討伐戰""]",FALSE,,"[{""name"":""創作感應"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 引爆水、木、光符石     ⇒ 分別掉落「火、暗、心」強化符石     1 回合內     II. 可任意移動符石而不會發動消除     III. 若首批消除所有符石，於回合結束時     ⇒ 將所有符石添加為人族符石     "",""tag"":[""引爆"",""水符石引爆"",""木符石引爆"",""光符石引爆"",""引爆強制掉落"",""排珠"",""人族符石製造""]}]",[],99,12,0,v19.70,,
2695,北海龍王 ‧ 敖吉,水,龍類,7,"[""討伐戰""]",FALSE,,"[{""name"":""龍力巔峰"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. <board>將最底 1 橫行的符石     ⇒ 轉化為水龍族符石</board>     II. 回合結束時     ⇒ <board>將最底 1 橫行的符石轉化為水龍族符石</board>     2 回合內     III. 隊中攻擊力最高 (最左方) 的 1 個龍類成員     ⇒ 攻擊力基值提升 4000 點     "",""tag"":[""符石轉水"",""龍族符石製造"",""固定版面"",[""增傷"",2],""多重左上狀態""]}]",[],99,12,0,v20.00,"[[""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""-"",""wr"",""wr"",""wr"",""wr"",""wr"",""wr""]]",
7001,火慾母神 ‧ 莎布尼古拉絲,火,龍類,7,"[""討伐戰""]",FALSE,,"[{""name"":""暗火移魂 ‧ 燃燒"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     I. 將暗符石轉化為火龍族符石     1 回合內     II. 敵方全體點燃     III. 使受影響目標轉為火屬性     "",""tag"":[""符石轉火"",""暗轉其他"",""龍族符石製造"",""點燃敵方"",""敵方轉火"",""敵身狀態""]}]",[],99,12,0,v9.00,,
7002,大陰陽師 ‧ 安倍晴明,水,人類,7,"[""討伐戰"",""陰陽師""]",FALSE,,"[{""name"":""歸一之志"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，消除符石的種類愈多 (只計算首批消除的符石)，自身攻擊力愈高，最大 12 倍     "",""tag"":[""增傷"",""界王拳""]}]","[{""description"":""     進入關卡後，最左方的大陰陽師 ‧ 安倍晴明及道摩法師 ‧ 蘆屋道滿主動技能 CD 減少 2     "",""activate"":""隊伍中有大陰陽師 ‧ 安倍晴明及道摩法師 ‧ 蘆屋道滿作成員"",""skill_tag"":[""進場減CD""],""activate_tag"":[""指定成員""],""relative"":[7002,737]},{""description"":""     ◆【陰陽師】成員     ⇒ 對妖精類及魔族目標傷害額外 2 倍     "",""activate"":""以【陰陽師】角色作成員"",""skill_tag"":[""增攻"",""對妖精類增傷"",""對魔族增傷""],""activate_tag"":[],""relative"":[""陰陽師""]}]",99,15,0,v9.00,,
7003,巫山鬼姬 ‧ 瑤姬,木,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""凝時摧魂 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，木屬性攻擊力 1.5 倍；場上有附加效果時，於 7 秒內可任意移動符石而不會發動消除     "",""tag"":[""排珠"",""增傷""]}]",[],99,12,0,v9.00,,
7004,信念承傳 ‧ 輝煌騎士,光,人類,7,"[""討伐戰""]",FALSE,,"[{""name"":""五星同源 ‧ 念"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，所有符石兼具 50% 其他屬性符石效果；「遊俠」系列成員的主動技能 CD 減少 2     "",""tag"":[""符石兼具水"",""符石兼具火"",""符石兼具木"",""符石兼具光"",""符石兼具暗"",""減CD""]}]","[{""description"":""     指定遊俠系列的召喚獸的攻擊力有 50% 機會提升 2 倍     "",""activate"":""以信念承傳 ‧ 輝煌騎士作隊長或戰友，並以 5 種不同屬性的 6 星遊俠系列的召喚獸作成員 "",""skill_tag"":[""爆擊""],""activate_tag"":[""指定隊長"",""指定戰友"",""指定成員""],""relative"":[7004,686,687,688,689,690]},{""description"":""     任何成員發動主動技能後，1 回合內，全隊攻擊力 1.5 倍 (同 1 回合只會發動 1 次)     "",""activate"":""以信念承傳 ‧ 輝煌騎士作隊長或戰友，並以 5 種�7005,阿修羅王 ‧ 羅侯,暗,神族,7,"[""討伐戰""]",FALSE,,"[{""name"":""進擊之癲"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     1 回合內，首 4 組消除符石額外計算多 1 連擊 (Combo)，其後每組消除符石額外計算多 2 連擊 (Combo)。連擊 (Combo) 只計算首批消除的符石。其他計算首批消除符石的技能不受此額外的連擊 (Combo) 影響     "",""tag"":[""增加Combo""]}]",[],99,15,0,v10.20,,
7006,善惡顛倒 ‧ 窮奇,火,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""逆天加冕"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. 與隊伍成員相同屬性的符石     ⇒ 轉化為強化符石     1 回合內     II. 強化符石的效果提升 15%     III. 若隊中有 ≥3 種屬性成員     ⇒ 當前 CD -3     "",""tag"":[""符石強化"",""符石轉火強化"",""強化珠效果提升"",""減CD""]}]",[],99,12,0,v10.10,,
7007,虛無之頌歌 ‧ 菲爾卡,水,妖精類,7,"[""討伐戰""]",FALSE,,"[{""name"":""死靈之源"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     每回合全隊攻擊力持續提升，最大 2.5 倍，效果會在進入下一層數 (Wave) 時消失     "",""tag"":[[""增傷"",-1],""頭像狀態""]}]",[],99,12,0,v11.00,,
7008,九首凶龍 ‧ 九嬰,火,龍類,7,"[""討伐戰""]",FALSE,,"[{""name"":""群龍之首 ‧ 呼嘯"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     2 回合內     I. 龍類攻擊力 2 倍     II. 首批消除所有火符石時     ⇒ 個人以 50% 攻擊力追打火屬性攻擊 9 次     "",""tag"":[[""增傷"",2],[""火屬追打"",2],[""自身追打"",2]]}]",[],99,15,0,v11.10,,
7009,隱形殺戮者 ‧ 七ＯＯ九,水,人類,7,"[""討伐戰""]",FALSE,,"[{""name"":""無形 ‧ 瞬擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     1 回合內，我方不會發動攻擊，並迴避所有敵人的攻擊；下一回合全隊攻擊力 1.5 倍     "",""tag"":[""增傷"",""限制成員攻擊"",""迴避""]}]",[],99,12,0,v12.00,,
7010,煙霧鏡 ‧ 特斯卡特利波卡,暗,妖精類,7,"[""討伐戰""]",FALSE,,"[{""name"":""靈之回饋"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     全隊攻擊力 1.5 倍，直至沒有消除心符石 (只計算首批消除的符石)。效果持續期間技能不會冷卻     "",""tag"":[[""增傷"",-1]]}]",[],99,12,0,v12.00,,
7011,罪律審神 ‧ 閻羅,暗,神族,7,"[""討伐戰""]",FALSE,,"[{""name"":""神魅噬魂"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     1 回合內，若首批消除的連擊 (Combo) 數為單數時，暗屬性攻擊力 1.5 倍；反之，神族及魔族攻擊力 1.5 倍。若首批消除的連擊 (Combo) 數達至 6 或以上，可以同時獲得以上兩個效果     "",""tag"":[""增傷""]}]",[],99,12,0,v12.10,,
7012,疾風繾綣 ‧ 風狸,木,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""森野結界"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     木屬性及獸類攻擊力 1.5 倍，木符石兼具其他屬性符石效果，效果持續至沒有消除木符石     "",""tag"":[[""符石兼具水"",-1],[""符石兼具火"",-1],[""符石兼具木"",-1],[""符石兼具光"",-1],[""符石兼具暗"",-1],[""增傷"",-1],""多重左上狀態""]}]",[],99,12,0,v12.30,,
7015,獠牙怒蟒 ‧ 穆修素,火,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""無止煉獄"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     每首批消除 1 組火屬性的連擊 (Combo) 時，個人追打火屬性攻擊 1 次，並於下回合開始時將 1 粒符石轉化為火符石，最多追打 4 次及轉化 4 粒；效果持續至沒有首批消除 4 粒或以上火符石     "",""tag"":[[""符石轉火"",-1],[""自身追打"",-1],[""火屬追打"",-1]]}]",[],99,12,0,v15.40,,
10058,靈猴覺行 ‧ 孫悟以,光,獸類,7,"[""討伐戰""]",FALSE,,"[{""name"":""喚日訣"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     I. 點選元素法陣上的 1 粒符石     ⇒ 將該種符石引爆     ⇒ 掉落光獸族強化符石     1 回合內     II. 上述引爆的符石愈多     ⇒ 所受傷害減少愈多     ⇒ 引爆 10 粒可減少最多 100% 傷害     "",""tag"":[""引爆"",""指定符石引爆"",""引爆強制掉落"",""獸族符石製造"",""減傷""]}]",[],99,12,0,v2021.10,,
10098,亡命燭火 ‧ 比夫隆,暗,妖精類,6,"[""討伐戰""]",FALSE,,"[{""name"":""幽暗領域"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     I. <board>引爆第 4、5、6 直行符石     ⇒ 掉落暗強化符石</board>     II. 將第 1、2、3 直行的暗符石     ⇒ 轉化為暗以外的強化符石     III. 隊長為妖精類成員     ⇒ 自身 CD -2     "",""tag"":[""引爆"",""直行引爆"",""引爆強制掉落"",""固定版面"",""暗轉其他"",""符石轉水"",""符石轉火"",""符石轉木"",""符石轉光"",""符石轉心"",""符石轉水強化"",""符石轉火強化"",""符石轉木強化"",""符石轉光強化"",""符石轉心強化"",""減CD""]}]",[],99,12,0,v2021.20,"[[""-"",""-"",""-"",""D"",""D"",""D"",""-"",""-"",""-"",""D"",""D"",""D"",""-"",""-"",""-"",""D"",""D"",""D"",""-"",""-"",""-"",""D"",""D"",""D"",""-"",""-"",""-"",""D"",""D"",""D""]]",
10111,察明虛偽 ‧ 安杜馬利烏士,木,神族,7,"[""討伐戰""]",FALSE,,"[{""name"":""吞燄化毒"",""type"":""normal"",""charge"":""CD"",""num"":8,""description"":""     2 回合內     I. 所受中毒、燃燒傷害     ⇒ 轉化為我方生命力     II. 可任意移動符石而不會發動消除     III. 隊中只有木屬性成員時     ⇒ 隊伍不會被封鎖主動技能     "",""tag"":[[""防毒"",2],[""無視燃燒"",2],[""排珠"",2],[""防鎖"",2]]}]",[],99,12,0,v2021.30,,
10158,鴉首掌控 ‧ 哈帕斯,光,魔族,7,"[""討伐戰""]",FALSE,,"[{""name"":""惡魂枯骨"",""type"":""normal"",""charge"":""CD"",""num"":7,""description"":""     I. 身旁成員攻擊力 2.5 倍     II. 若身旁成員為魔族時     ⇒ 則該成員攻擊力 3.5 倍     (效果會在關閉此技能或死亡後消失)          此技能可隨時關閉，關閉時：     1 回合內     ⓵ 身旁成員     ⇒ 無視「固定連擊盾」     "",""tag"":[[""增傷"",-1],[""界王拳"",-1],""隨時關閉"",""無視固定連擊盾"",""頭像狀態""]}]",[],99,12,0,v2022.10,,
