kill,teamSkill,maxLevel,maxSkill,maxRefine,version,board,specialImage
[{""name"":"""",""type"":""normal"",""charge"":"""",""num"":0,""description"":""          "",""tag"":[]
[{""name"":""符石激發 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆暗符石造成敵全體光屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""暗符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆光符石造成敵全體暗屬性傷害     "",""tag"":[""引爆"",""光符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆光符石造成敵全體暗屬性傷害     "",""tag"":[""引爆"",""光符石引爆"",""直傷""]
[{""name"":""符石解放 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆光符石造成敵全體暗屬性傷害     "",""tag"":[""引爆"",""光符石引爆"",""直傷""]
[{""name"":""符石激發 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     直接引爆光符石造成敵全體暗屬性傷害，並產生強化符石     "",""tag"":[""引爆"",""光符石引爆"",""直傷""]
[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]
[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]
[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]
[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]
[{""name"":""防禦姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心符石     "",""tag"":[""符石轉心"",""木轉其他""]
[{""name"":""防禦姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心符石     "",""tag"":[""符石轉心"",""木轉其他""]
[{""name"":""防禦姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心符石     "",""tag"":[""符石轉心"",""木轉其他""]
[{""name"":""防禦姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心符石     "",""tag"":[""符石轉心"",""木轉其他""]
[{""name"":""防禦壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     3 回合內，所受傷害減少 50%     "",""tag"":[[""減傷"",3]]
[{""name"":""防禦壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     3 回合內，所受傷害減少 50%     "",""tag"":[[""減傷"",3]]
[{""name"":""防禦壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     3 回合內，所受傷害減少 50%     "",""tag"":[[""減傷"",3]]
[{""name"":""防禦壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     3 回合內，所受傷害減少 50%     "",""tag"":[[""減傷"",3]]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""護牆崩壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，全體敵人的防禦力減少 90%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""防禦姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     光符石轉化為心符石     "",""tag"":[""符石轉心"",""光轉其他""]
[{""name"":""防禦姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     光符石轉化為心符石     "",""tag"":[""符石轉心"",""光轉其他""]
[{""name"":""防禦姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     光符石轉化為心符石     "",""tag"":[""符石轉心"",""光轉其他""]
[{""name"":""防禦姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     光符石轉化為心符石     "",""tag"":[""符石轉心"",""光轉其他""]
[{""name"":""水波怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""水波怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""水波爆擊"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     對敵方全體造成自身攻擊力 30 倍的水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""火焰怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""火焰怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""火焰爆撃"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     對敵方全體造成自身攻擊力 30 倍的火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""大地怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""大地怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""大地爆擊"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     對敵方全體造成自身攻擊力 30 倍的木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""閃光怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""閃光怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""閃光爆撃"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     對敵方全體造成自身攻擊力 30 倍的光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""暗影怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""暗影怒擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對敵方全體造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""暗影爆撃"",""type"":""normal"",""charge"":""CD"",""num"":6,""description"":""     對敵方全體造成自身攻擊力 30 倍的暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""寒冰一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""攻擊姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為水符石     "",""tag"":[""符石轉水"",""心轉其他""]
[{""name"":""烈炎一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""攻擊姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為火符石     "",""tag"":[""符石轉火"",""心轉其他""]
[{""name"":""旋風一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""攻擊姿勢 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為木符石     "",""tag"":[""符石轉木"",""心轉其他""]
[{""name"":""金光一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""攻擊姿勢 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為光符石     "",""tag"":[""符石轉光"",""心轉其他""]
[{""name"":""暗色一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""攻擊姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     心符石轉化為暗符石     "",""tag"":[""符石轉暗"",""心轉其他""]
[{""name"":""生命補充"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 5 倍的生命力     "",""tag"":[""回血""]
[{""name"":""超級治療"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 10 倍的生命力     "",""tag"":[""回血""]
[{""name"":""生命補充"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 5 倍的生命力     "",""tag"":[""回血""]
[{""name"":""超級治療"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 10 倍的生命力     "",""tag"":[""回血""]
[{""name"":""生命補充"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 5 倍的生命力     "",""tag"":[""回血""]
[{""name"":""超級治療"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 10 倍的生命力     "",""tag"":[""回血""]
[{""name"":""生命補充"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 5 倍的生命力     "",""tag"":[""回血""]
[{""name"":""超級治療"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 10 倍的生命力     "",""tag"":[""回血""]
[{""name"":""生命補充"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 5 倍的生命力     "",""tag"":[""回血""]
[{""name"":""超級治療"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     回復自身回復力 10 倍的生命力     "",""tag"":[""回血""]
[{""name"":""寒冰一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""寒冰強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""烈炎一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""烈炎強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""旋風一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""旋風強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""金光一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""金光強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""暗色一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""暗色強擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 10 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""流水連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次水屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""流水狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次水屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""烈焰連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次火屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""烈焰狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次火屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""片葉連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次木屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""片葉狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次木屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""光刃連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次光屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""光刃狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次光屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""暗戈連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次暗屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""暗戈狂擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 15 次暗屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""流水連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次水屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""防禦姿勢 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     火符石轉化為心符石     "",""tag"":[""符石轉心"",""火轉其他""]
[{""name"":""烈焰連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次火屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""防禦姿勢 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為心符石     "",""tag"":[""符石轉心"",""木轉其他""]
[{""name"":""片葉連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次木屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""防禦姿勢 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     水符石轉化為心符石     "",""tag"":[""符石轉心"",""水轉其他""]
[{""name"":""光刃連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次光屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""防禦姿勢 ‧ 光"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     暗符石轉化為心符石     "",""tag"":[""符石轉心"",""暗轉其他""]
[{""name"":""暗戈連擊"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     進行 5 次暗屬性攻擊     "",""tag"":[""直傷""]
[{""name"":""防禦姿勢 ‧ 暗"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     光符石轉化為心符石     "",""tag"":[""符石轉心"",""光轉其他""]
[{""name"":""寒冰一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍水屬性傷害     "",""tag"":[""直傷""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""烈炎一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍火屬性傷害     "",""tag"":[""直傷""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""旋風一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍木屬性傷害     "",""tag"":[""直傷""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""金光一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍光屬性傷害     "",""tag"":[""直傷""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""暗色一擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 5 倍暗屬性傷害     "",""tag"":[""直傷""]
[{""name"":""裝甲破壞"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     3 回合內，敵人的防禦力減少 75%     "",""tag"":[[""破防"",3],""敵身狀態""]
[{""name"":""凍結"",""type"":""normal"",""charge"":""CD"",""num"":16,""description"":""     凍結敵方全體，使受影響目標無法行動並轉為水屬性，持續 3 回合     "",""tag"":[[""無法行動"",3],[""敵方轉水"",3],[""凍結敵方"",3],""敵身狀態""]
[{""name"":""凍結"",""type"":""normal"",""charge"":""CD"",""num"":16,""description"":""     凍結敵方全體，使受影響目標無法行動並轉為水屬性，持續 3 回合     "",""tag"":[[""無法行動"",3],[""敵方轉水"",3],[""凍結敵方"",3],""敵身狀態""]
[{""name"":""凍結"",""type"":""normal"",""charge"":""CD"",""num"":16,""description"":""     凍結敵方全體，使受影響目標無法行動並轉為水屬性，持續 3 回合     "",""tag"":[[""無法行動"",3],[""敵方轉水"",3],[""凍結敵方"",3],""敵身狀態""]
[{""name"":""加速世界"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     6 秒內，可任意移動符石而不會發動消除     "",""tag"":[""排珠""]
[{""name"":""疾風境界"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     8 秒內，可任意移動符石而不會發動消除     "",""tag"":[""排珠""]
[{""name"":""時間操縱"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     10 秒內，可任意移動符石而不會發動消除     "",""tag"":[""排珠""]
[{""name"":""寄生"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體被寄生，每回合將吸取相當於自身回復力的生命力，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""回血"",-1],[""寄生敵方"",-1],""敵身狀態""]
[{""name"":""寄生"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體被寄生，每回合將吸取相當於自身回復力的生命力，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""回血"",-1],[""寄生敵方"",-1],""敵身狀態""]
[{""name"":""寄生"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體被寄生，每回合將吸取相當於自身回復力的生命力，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""回血"",-1],[""寄生敵方"",-1],""敵身狀態""]
[{""name"":""神聖結界"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     連續 5 回合大量恢復生命力     "",""tag"":[[""回血"",5]]
[{""name"":""神聖結界"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     連續 5 回合大量恢復生命力     "",""tag"":[[""回血"",5]]
[{""name"":""神聖結界"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     連續 5 回合大量恢復生命力     "",""tag"":[[""回血"",5]]
[{""name"":""毒害"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體中毒，每回合將受到施技者攻擊力的傷害，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""敵方中毒"",-1],""敵身狀態""]
[{""name"":""毒害"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體中毒，每回合將受到施技者攻擊力的傷害，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""敵方中毒"",-1],""敵身狀態""]
[{""name"":""毒害"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     敵方全體中毒，每回合將受到施技者攻擊力的傷害，此傷害無視防禦力及屬性並持續到死亡     "",""tag"":[[""敵方中毒"",-1],""敵身狀態""]
[{""name"":""大海之壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     5 回合內，減少 50% 所受傷害     "",""tag"":[[""減傷"",5]]
[{""name"":""大海之壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     5 回合內，減少 50% 所受傷害     "",""tag"":[[""減傷"",5]]
[{""name"":""大海之壁"",""type"":""normal"",""charge"":""CD"",""num"":15,""description"":""     5 回合內，減少 50% 所受傷害     "",""tag"":[[""減傷"",5]]
[{""name"":""橫掃千軍"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體造成 5 倍火屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""橫掃千軍"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體造成 5 倍火屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""橫掃千軍"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     對敵方全體造成 5 倍火屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""引弓狙擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 15 倍木屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""引弓狙擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 15 倍木屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""引弓狙擊"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     對單一敵人造成 15 倍木屬性傷害，此傷害無視防禦力     "",""tag"":[""直傷"",""破防直傷""]
[{""name"":""完全回復"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     完全恢復生命力     "",""tag"":[""回血""]
[{""name"":""完全回復"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     完全恢復生命力     "",""tag"":[""回血""]
[{""name"":""完全回復"",""type"":""normal"",""charge"":""CD"",""num"":10,""description"":""     完全恢復生命力     "",""tag"":[""回血""]
[{""name"":""生命終解"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     敵方生命力 20% 以下時，即殺     "",""tag"":[""直傷"",""無視技能直傷""]
[{""name"":""生命終解"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     敵方生命力 20% 以下時，即殺     "",""tag"":[""直傷"",""無視技能直傷""]
[{""name"":""生命終解"",""type"":""normal"",""charge"":""CD"",""num"":12,""description"":""     敵方生命力 20% 以下時，即殺     "",""tag"":[""直傷"",""無視技能直傷""]
[{""name"":""符石變換 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     火符石轉化為水符石     "",""tag"":[""符石轉水"",""火轉其他""]
[{""name"":""符石變換 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     火符石轉化為水符石     "",""tag"":[""符石轉水"",""火轉其他""]
[{""name"":""符石變換 ‧ 水"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     火符石轉化為水符石     "",""tag"":[""符石轉水"",""火轉其他""]
[{""name"":""符石變換 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為火符石     "",""tag"":[""符石轉火"",""木轉其他""]
[{""name"":""符石變換 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為火符石     "",""tag"":[""符石轉火"",""木轉其他""]
[{""name"":""符石變換 ‧ 火"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     木符石轉化為火符石     "",""tag"":[""符石轉火"",""木轉其他""]
[{""name"":""符石變換 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     水符石轉化為木符石     "",""tag"":[""符石轉木"",""水轉其他""]
[{""name"":""符石變換 ‧ 木"",""type"":""normal"",""charge"":""CD"",""num"":5,""description"":""     水符石轉化為木符石     "",""tag"":[""符石轉木"",""水轉其他""]
